iter	RMSE
0	11164.85409
1	10735.78466
2	10351.27839
3	9968.685153
4	9600.815033
5	9238.920092
6	8900.03726
7	8590.734196
8	8288.829851
9	8017.793491
10	7753.776639
11	7502.69155
12	7258.64089
13	7033.18935
14	6823.228002
15	6608.96887
16	6414.356658
17	6223.245328
18	6047.838565
19	5884.505257
20	5723.527873
21	5564.042833
22	5418.947095
23	5281.519435
24	5145.137324
25	5018.167837
26	4899.412883
27	4787.506005
28	4678.082537
29	4578.410611
30	4480.514042
31	4391.13018
32	4307.892762
33	4223.682719
34	4146.453989
35	4073.284761
36	3999.617394
37	3928.816911
38	3863.323436
39	3803.492077
40	3744.766293
41	3688.672851
42	3635.185038
43	3584.301918
44	3533.524291
45	3489.939371
46	3447.541607
47	3402.168882
48	3363.851893
49	3326.652861
50	3291.65539
51	3260.431654
52	3231.103129
53	3198.449596
54	3167.92423
55	3142.975085
56	3117.29598
57	3090.234859
58	3068.296304
59	3046.988499
60	3025.074849
61	3003.84971
62	2984.029698
63	2964.229036
64	2944.922322
65	2930.251742
66	2916.053654
67	2898.558988
68	2881.374481
69	2865.756493
70	2848.480135
71	2836.386363
72	2823.881775
73	2812.429026
74	2799.766878
75	2788.026913
76	2777.216128
77	2763.583778
78	2755.269575
79	2745.868175
80	2736.280824
81	2727.187363
82	2714.075541
83	2704.892765
84	2697.339452
85	2688.403612
86	2682.055659
87	2675.877811
88	2665.394697
89	2656.661679
90	2650.944588
91	2644.810621
92	2636.77269
93	2630.355979
94	2622.177535
95	2617.5904
96	2605.218238
97	2597.892767
98	2592.087228
99	2583.27383
100	2578.457152
101	2573.1115
102	2567.524181
103	2561.619499
104	2556.675529
105	2552.453604
106	2545.321798
107	2541.567606
108	2536.790645
109	2527.621156
110	2523.271095
111	2514.026386
112	2508.396699
113	2505.759001
114	2502.492142
115	2498.42123
116	2492.466695
117	2486.956946
118	2482.737557
119	2475.379468
120	2472.933232
121	2468.267339
122	2464.440407
123	2461.301237
124	2455.853637
125	2452.990847
126	2447.647392
127	2439.444151
128	2437.448867
129	2430.538486
130	2423.197115
131	2416.809042
132	2413.246005
133	2410.398342
134	2404.386546
135	2402.308997
136	2399.050237
137	2396.536663
138	2393.344266
139	2388.499947
140	2384.141611
141	2380.68202
142	2377.15551
143	2374.966148
144	2373.315005
145	2371.050598
146	2369.591378
147	2366.949189
148	2360.740496
149	2356.533905
150	2354.469767
151	2350.829355
152	2347.862681
153	2346.238595
154	2344.752216
155	2342.175812
156	2337.842511
157	2335.701071
158	2332.511844
159	2327.385655
160	2324.022168
161	2322.261579
162	2319.267151
163	2313.766926
164	2311.542956
165	2308.524348
166	2306.891776
167	2306.019496
168	2303.593651
169	2298.333692
170	2296.712581
171	2295.948508
172	2294.437515
173	2293.221759
174	2290.630543
175	2289.00398
176	2288.064079
177	2284.078319
178	2282.138049
179	2278.645943
180	2276.953891
181	2275.886817
182	2273.520644
183	2272.089756
184	2268.915129
185	2266.247009
186	2262.803504
187	2261.500797
188	2257.615914
189	2254.199816
190	2252.46072
191	2248.504695
192	2244.030371
193	2242.00364
194	2238.891989
195	2236.546639
196	2235.254132
197	2231.261868
198	2229.972009
199	2228.844442
200	2226.572111
201	2223.712641
202	2222.025471
203	2221.261896
204	2217.153403
205	2215.87465
206	2214.24166
207	2211.267794
208	2208.597512
209	2206.804183
210	2205.895549
211	2201.68205
212	2197.365878
213	2195.695701
214	2193.86525
215	2192.529021
216	2189.834632
217	2187.655283
218	2184.872837
219	2184.414294
220	2183.42231
221	2179.40518
222	2174.500722
223	2173.724484
224	2171.060664
225	2169.920707
226	2168.584434
227	2166.688273
228	2164.875382
229	2164.479759
230	2160.629951
231	2159.277935
232	2156.54703
233	2155.474648
234	2154.400312
235	2152.934731
236	2152.524939
237	2149.211668
238	2147.959363
239	2146.844039
240	2144.741755
241	2141.884135
242	2139.345689
243	2137.400995
244	2133.202797
245	2130.259959
246	2129.809804
247	2128.895466
248	2128.507232
249	2125.475927
250	2121.773797
251	2120.811432
252	2119.870184
253	2117.404804
254	2114.937349
255	2112.580574
256	2110.915659
257	2108.038505
258	2105.127291
259	2104.183868
260	2102.487968
261	2101.542846
262	2100.016506
263	2098.463372
264	2097.950321
265	2096.519238
266	2094.096554
267	2092.510685
268	2091.684945
269	2090.392995
270	2089.174486
271	2087.029356
272	2086.609079
273	2084.025573
274	2082.243166
275	2081.882408
276	2081.414357
277	2079.788161
278	2077.726519
279	2074.417335
280	2072.708442
281	2071.936883
282	2071.388774
283	2069.656781
284	2068.977393
285	2067.799072
286	2066.717615
287	2065.213849
288	2062.968973
289	2062.695341
290	2060.847294
291	2059.027963
292	2058.32071
293	2055.471682
294	2053.955071
295	2052.127257
296	2051.81802
297	2051.614355
298	2051.137554
299	2050.723543
300	2050.490689
301	2050.18054
302	2047.43112
303	2045.423
304	2044.991278
305	2044.737833
306	2043.898071
307	2043.434036
308	2043.035951
309	2042.644959
310	2041.805516
311	2041.716846
312	2041.452023
313	2039.427407
314	2039.388712
315	2038.919656
316	2038.587078
317	2037.963867
318	2036.178841
319	2035.961496
320	2033.699583
321	2031.380843
322	2029.340246
323	2028.190772
324	2026.497257
325	2026.12105
326	2026.059725
327	2025.469773
328	2024.198756
329	2023.635497
330	2022.086868
331	2020.832569
332	2018.889947
333	2015.795735
334	2014.265907
335	2012.577265
336	2012.083617
337	2011.480387
338	2009.658843
339	2008.194966
340	2007.937256
341	2007.195023
342	2006.488433
343	2005.924178
344	2005.148664
345	2003.827794
346	2003.319676
347	2002.805635
348	2000.971773
349	1998.728645
350	1997.829766
351	1995.68954
352	1994.150829
353	1993.706834
354	1992.235994
355	1991.336947
356	1990.995098
357	1989.827566
358	1989.523146
359	1987.172465
360	1986.859768
361	1985.289828
362	1985.028891
363	1982.250927
364	1981.800823
365	1981.67695
366	1979.389098
367	1977.785472
368	1976.917973
