iter	Passed	Remaining
0	7	3688
1	14	3534
2	21	3529
3	27	3363
4	34	3377
5	42	3475
6	48	3417
7	54	3352
8	61	3344
9	66	3280
10	72	3221
11	79	3227
12	86	3227
13	91	3159
14	97	3138
15	102	3089
16	106	3035
17	111	2993
18	117	2969
19	122	2930
20	127	2900
21	131	2858
22	136	2826
23	141	2809
24	147	2795
25	152	2772
26	158	2784
27	165	2787
28	170	2764
29	174	2739
30	180	2725
31	185	2716
32	190	2691
33	194	2666
34	199	2646
35	203	2624
36	208	2604
37	212	2584
38	217	2567
39	221	2548
40	225	2529
41	229	2506
42	233	2483
43	238	2466
44	242	2453
45	246	2435
46	251	2420
47	255	2401
48	259	2384
49	263	2368
50	267	2355
51	272	2348
52	277	2339
53	282	2334
54	287	2327
55	293	2323
56	298	2318
57	303	2314
58	309	2313
59	314	2306
60	319	2297
61	323	2285
62	327	2274
63	332	2264
64	337	2255
65	341	2247
66	346	2237
67	350	2227
68	354	2216
69	359	2207
70	364	2199
71	368	2191
72	372	2179
73	376	2166
74	379	2153
75	384	2142
76	388	2131
77	391	2120
78	395	2107
79	399	2097
80	403	2086
81	407	2076
82	411	2065
83	414	2055
84	418	2045
85	423	2036
86	427	2029
87	431	2022
88	435	2013
89	439	2003
90	443	1994
91	448	1987
92	452	1979
93	456	1971
94	461	1966
95	466	1962
96	471	1958
97	477	1957
98	482	1953
99	486	1946
100	491	1942
101	496	1935
102	500	1928
103	505	1923
104	510	1919
105	514	1912
106	518	1905
107	522	1897
108	526	1889
109	530	1881
110	534	1874
111	538	1866
112	542	1859
113	545	1846
114	549	1839
115	553	1832
116	557	1825
117	562	1819
118	566	1812
119	570	1806
120	574	1798
121	578	1791
122	582	1785
123	586	1777
124	590	1771
125	594	1764
126	598	1757
127	602	1751
128	606	1744
129	611	1740
130	616	1735
131	620	1729
132	624	1724
133	629	1719
134	635	1717
135	639	1712
136	644	1708
137	649	1703
138	655	1702
139	661	1700
140	665	1695
141	671	1692
142	676	1688
143	681	1683
144	686	1680
145	691	1677
146	696	1672
147	701	1668
148	706	1664
149	711	1660
150	716	1656
151	721	1652
152	726	1648
153	732	1644
154	736	1639
155	741	1634
156	745	1628
157	750	1624
158	754	1618
159	759	1614
160	764	1610
161	769	1606
162	774	1602
163	779	1597
164	784	1592
165	788	1587
166	792	1580
167	796	1574
168	801	1569
169	805	1563
170	809	1557
171	813	1550
172	817	1544
173	821	1538
174	825	1533
175	829	1527
176	834	1522
177	838	1517
178	842	1511
179	846	1505
180	851	1499
181	855	1494
182	859	1488
183	863	1482
184	867	1477
185	871	1471
186	875	1466
187	879	1460
188	884	1455
189	889	1451
190	893	1446
191	898	1441
192	903	1436
193	907	1431
194	912	1427
195	916	1421
196	920	1416
197	925	1411
198	929	1405
199	933	1400
200	938	1395
201	942	1390
202	946	1385
203	950	1379
204	955	1374
205	959	1369
206	963	1363
207	967	1358
208	971	1352
209	975	1346
210	978	1340
211	982	1335
212	986	1329
213	991	1324
214	995	1318
215	998	1313
216	1003	1308
217	1007	1303
218	1011	1298
219	1015	1292
220	1019	1287
221	1023	1281
222	1027	1276
223	1031	1271
224	1036	1266
225	1040	1261
226	1044	1255
227	1048	1250
228	1052	1245
229	1056	1240
230	1060	1235
231	1065	1231
232	1070	1226
233	1074	1221
234	1078	1216
235	1082	1211
236	1086	1205
237	1090	1200
238	1095	1196
239	1099	1191
240	1104	1186
241	1109	1182
242	1114	1179
243	1120	1175
244	1125	1171
245	1129	1166
246	1134	1161
247	1138	1156
248	1142	1152
249	1147	1147
250	1151	1142
251	1155	1137
252	1159	1132
253	1163	1127
254	1167	1121
255	1171	1117
256	1176	1112
257	1180	1107
258	1184	1102
259	1189	1098
260	1194	1093
261	1198	1088
262	1203	1084
263	1207	1079
264	1212	1075
265	1216	1070
266	1222	1066
267	1226	1061
268	1231	1057
269	1235	1052
270	1238	1046
271	1243	1042
272	1247	1036
273	1251	1032
274	1256	1027
275	1260	1022
276	1264	1018
277	1270	1014
278	1274	1009
279	1279	1005
280	1285	1001
281	1289	996
282	1294	992
283	1300	988
284	1304	984
285	1309	979
286	1313	975
287	1318	970
288	1324	966
289	1329	962
290	1333	957
291	1337	952
292	1341	947
293	1346	943
294	1350	938
295	1354	933
296	1358	928
297	1362	923
298	1367	919
299	1371	914
300	1375	909
301	1379	904
302	1384	900
303	1388	895
304	1392	890
305	1396	885
306	1400	880
307	1404	875
308	1407	870
309	1411	865
310	1415	860
311	1419	855
312	1423	850
313	1427	845
314	1431	840
315	1435	836
316	1439	831
317	1443	826
318	1447	821
319	1451	816
320	1454	811
321	1459	806
322	1463	801
323	1467	797
324	1471	792
325	1475	787
326	1479	782
327	1483	777
328	1487	773
329	1491	768
330	1495	763
331	1498	758
332	1503	753
333	1507	749
334	1511	744
335	1516	740
336	1520	735
337	1524	730
338	1528	725
339	1531	720
340	1535	716
341	1540	711
342	1544	706
343	1548	702
344	1552	697
