model,year,transmission,mileage,fuelType,tax,mpg,engineSize,actual_price,predicted_price,absolute_error
 A6,2018,Semi-Auto,19500,Diesel,145,39.8,3.0,48950,31259.733333333334,17690.266666666666
 Q7,2019,Automatic,6000,Diesel,145,33.2,3.0,66990,50566.87142857146,16423.12857142854
 Q7,2019,Automatic,5000,Diesel,145,33.2,3.0,44990,60336.07412698413,15346.074126984131
 A7,2019,Automatic,11500,Diesel,145,38.2,3.0,51990,36737.166666666664,15252.833333333336
 Q7,2020,Semi-Auto,5000,Diesel,145,29.4,4.0,89990,75432.92333333334,14557.07666666666
 Q7,2019,Automatic,8000,Diesel,145,33.2,3.0,44990,59411.706666666665,14421.706666666665
 A6,2018,Automatic,22000,Petrol,145,29.4,4.0,59950,46916.91,13033.089999999997
 Q7,2019,Semi-Auto,2977,Diesel,145,33.2,3.0,43500,56213.048888888894,12713.048888888894
 A7,2017,Semi-Auto,47800,Petrol,150,29.7,4.0,31000,43426.26666666667,12426.26666666667
 R8,2007,Automatic,39000,Petrol,515,21.0,4.2,42992,30602.696666666667,12389.303333333333
 A6,2019,Semi-Auto,6238,Diesel,145,37.7,3.0,53939,42346.25666666667,11592.743333333332
 R8,2019,Automatic,13663,Petrol,150,21.4,5.2,125000,113410.58333333333,11589.416666666672
 Q7,2019,Automatic,10,Diesel,145,33.2,3.0,59995,48978.17,11016.830000000002
 TT,2020,Semi-Auto,5000,Petrol,145,35.3,2.0,43990,33802.07777777778,10187.922222222223
 Q7,2020,Semi-Auto,6000,Diesel,145,29.4,4.0,86990,76883.03333333334,10106.96666666666
 A8,2019,Automatic,8076,Petrol,145,28.8,3.0,44950,55031.83666666667,10081.83666666667
 A6,2020,Semi-Auto,3000,Petrol,150,34.0,2.0,47995,37959.9,10035.099999999999
 Q7,2015,Semi-Auto,26407,Diesel,200,47.9,3.0,31995,22159.906666666666,9835.093333333334
 Q7,2019,Semi-Auto,13856,Diesel,145,32.8,3.0,56950,47133.04666666667,9816.953333333331
 A8,2019,Automatic,4850,Diesel,145,40.4,3.0,38990,48721.2091053391,9731.209105339098
 Q5,2020,Automatic,7791,Diesel,145,34.5,3.0,43950,52980.01555555557,9030.015555555568
 Q7,2019,Automatic,4150,Diesel,145,33.2,3.0,45990,54630.48888888889,8640.488888888889
 Q7,2019,Automatic,7476,Diesel,145,33.2,3.0,41000,49624.473333333335,8624.473333333335
 Q2,2020,Semi-Auto,5900,Petrol,150,32.5,2.0,40000,31436.336666666666,8563.663333333334
 A7,2017,Semi-Auto,25000,Petrol,145,29.7,4.0,37500,45699.04,8199.04
